#chrom	txStart	txEnd	refseq	score	strand	symbol
chr19_KI270929v1_alt	148310	163290	NM_133279	0.000	+	FCAR
chr19_KI270929v1_alt	229	10713	NM_153443	0.000	+	KIR3DL3
chr19_KI270929v1_alt	28771	30506	NR_110737	0.000	-	LOC101928804
chr19_KI270929v1_alt	43598	45241	NR_110737	0.000	-	LOC101928804
chr19_KI270929v1_alt	28771	30506	NR_110738	0.000	-	LOC101928804
chr19_KI270929v1_alt	43598	45241	NR_110738	0.000	-	LOC101928804
chr19_KI270930v1_alt	54366	65274	NM_001080770	0.000	-	KIR2DL4
chr19_KI270930v1_alt	54366	65274	NM_001080772	0.000	-	KIR2DL4
chr19_KI270930v1_alt	1961	52420	NM_001083539	0.000	-	KIR3DS1
chr19_KI270930v1_alt	1841	18618	NM_001242867	0.000	-	KIR3DL2
chr19_KI270930v1_alt	54366	75836	NM_001258383	0.000	-	LOC100287534
chr19_KI270930v1_alt	20490	36190	NM_001281971	0.000	-	KIR2DS4
chr19_KI270930v1_alt	162619	163047	NM_001281971	0.000	-	KIR2DS4
chr19_KI270930v1_alt	20490	36190	NM_001281972	0.000	-	KIR2DS4
chr19_KI270930v1_alt	162619	163047	NM_001281972	0.000	-	KIR2DS4
chr19_KI270930v1_alt	1961	174690	NM_001282170	0.000	-	KIR3DS1
chr19_KI270930v1_alt	1961	174690	NM_001282171	0.000	-	KIR3DS1
chr19_KI270930v1_alt	20493	160624	NM_001291695	0.000	-	KIR2DS2
chr19_KI270930v1_alt	20493	160624	NM_001291696	0.000	-	KIR2DS2
chr19_KI270930v1_alt	20493	160624	NM_001291700	0.000	-	KIR2DS2
chr19_KI270930v1_alt	20493	160624	NM_001291701	0.000	-	KIR2DS2
chr19_KI270930v1_alt	54366	65274	NM_002255	0.000	-	KIR2DL4
chr19_KI270930v1_alt	1841	18618	NM_006737	0.000	-	KIR3DL2
chr19_KI270930v1_alt	20493	160624	NM_012312	0.000	-	KIR2DS2
chr19_KI270930v1_alt	118016	132566	NM_012313	0.000	-	KIR2DS3
chr19_KI270930v1_alt	162619	163047	NM_012314	0.000	-	KIR2DS4
chr19_KI270930v1_alt	38087	52446	NM_013289	0.000	-	KIR3DL1
chr19_KI270930v1_alt	86259	100778	NM_014218	0.000	-	KIR2DL1
chr19_KI270930v1_alt	146075	174691	NM_014218	0.000	-	KIR2DL1
chr19_KI270930v1_alt	86261	160618	NM_014219	0.000	-	KIR2DL2
chr19_KI270930v1_alt	20943	115585	NM_014512	0.000	-	KIR2DS1
chr19_KI270930v1_alt	1840	115605	NM_014513	0.000	-	KIR2DS5
chr19_KI270930v1_alt	102713	115609	NM_015868	0.000	-	KIR2DL3
chr19_KI270930v1_alt	146079	160626	NM_015868	0.000	-	KIR2DL3
chr19_KI270930v1_alt	117683	174671	NM_153443	0.000	-	KIR3DL3
chr19_KI270930v1_alt	185697	191234	NR_003061	0.000	-	LILRP2
chr19_KI270930v1_alt	33765	84717	NR_110737	0.000	+	LOC101928804
chr19_KI270930v1_alt	99526	101169	NR_110737	0.000	+	LOC101928804
chr19_KI270930v1_alt	99526	101169	NR_110738	0.000	+	LOC101928804
chr19_KI270930v1_alt	114265	116000	NR_110738	0.000	+	LOC101928804
chr19_KI270930v1_alt	130810	144538	NR_110738	0.000	+	LOC101928804
chr19_KI270931v1_alt	54042	64991	NM_001080770	0.000	-	KIR2DL4
chr19_KI270931v1_alt	54042	64991	NM_001080772	0.000	-	KIR2DL4
chr19_KI270931v1_alt	2318	52095	NM_001083539	0.000	-	KIR3DS1
chr19_KI270931v1_alt	2198	18974	NM_001242867	0.000	-	KIR3DL2
chr19_KI270931v1_alt	54042	75543	NM_001258383	0.000	-	LOC100287534
chr19_KI270931v1_alt	20845	35882	NM_001281971	0.000	-	KIR2DS4
chr19_KI270931v1_alt	20845	35882	NM_001281972	0.000	-	KIR2DS4
chr19_KI270931v1_alt	2318	52095	NM_001282170	0.000	-	KIR3DS1
chr19_KI270931v1_alt	2318	52095	NM_001282171	0.000	-	KIR3DS1
chr19_KI270931v1_alt	20848	130054	NM_001291695	0.000	-	KIR2DS2
chr19_KI270931v1_alt	20848	130054	NM_001291696	0.000	-	KIR2DS2
chr19_KI270931v1_alt	20848	130054	NM_001291700	0.000	-	KIR2DS2
chr19_KI270931v1_alt	20848	130054	NM_001291701	0.000	-	KIR2DS2
chr19_KI270931v1_alt	54042	64991	NM_002255	0.000	-	KIR2DL4
chr19_KI270931v1_alt	2198	18974	NM_006737	0.000	-	KIR3DL2
chr19_KI270931v1_alt	20848	130054	NM_012312	0.000	-	KIR2DS2
chr19_KI270931v1_alt	21284	144039	NM_012313	0.000	-	KIR2DS3
chr19_KI270931v1_alt	20845	35882	NM_012314	0.000	-	KIR2DS4
chr19_KI270931v1_alt	37779	52121	NM_013289	0.000	-	KIR3DL1
chr19_KI270931v1_alt	84264	98778	NM_014218	0.000	-	KIR2DL1
chr19_KI270931v1_alt	100706	144066	NM_014218	0.000	-	KIR2DL1
chr19_KI270931v1_alt	84266	130048	NM_014219	0.000	-	KIR2DL2
chr19_KI270931v1_alt	21298	113581	NM_014512	0.000	-	KIR2DS1
chr19_KI270931v1_alt	2197	144061	NM_014513	0.000	-	KIR2DS5
chr19_KI270931v1_alt	100710	113605	NM_015868	0.000	-	KIR2DL3
chr19_KI270931v1_alt	115538	130056	NM_015868	0.000	-	KIR2DL3
chr19_KI270931v1_alt	132026	144046	NM_153443	0.000	-	KIR3DL3
chr19_KI270931v1_alt	155072	160609	NR_003061	0.000	-	LILRP2
chr19_KI270931v1_alt	97526	99169	NR_110737	0.000	+	LOC101928804
chr19_KI270931v1_alt	112261	113996	NR_110737	0.000	+	LOC101928804
chr19_KI270931v1_alt	34144	52486	NR_110738	0.000	+	LOC101928804
chr19_KI270931v1_alt	97526	99169	NR_110738	0.000	+	LOC101928804
chr19_KI270931v1_alt	112261	113996	NR_110738	0.000	+	LOC101928804
chr19_KI270932v1_alt	54892	65839	NM_001080770	0.000	-	KIR2DL4
chr19_KI270932v1_alt	54892	65839	NM_001080772	0.000	-	KIR2DL4
chr19_KI270932v1_alt	2296	52946	NM_001083539	0.000	-	KIR3DS1
chr19_KI270932v1_alt	2176	18971	NM_001242867	0.000	-	KIR3DL2
chr19_KI270932v1_alt	54892	76392	NM_001258383	0.000	-	LOC100287534
chr19_KI270932v1_alt	20840	36733	NM_001281971	0.000	-	KIR2DS4
chr19_KI270932v1_alt	20840	36733	NM_001281972	0.000	-	KIR2DS4
chr19_KI270932v1_alt	161259	175628	NM_001281972	0.000	-	KIR2DS4
chr19_KI270932v1_alt	2296	52946	NM_001282170	0.000	-	KIR3DS1
chr19_KI270932v1_alt	2296	52946	NM_001282171	0.000	-	KIR3DS1
chr19_KI270932v1_alt	161262	175574	NM_001291695	0.000	-	KIR2DS2
chr19_KI270932v1_alt	161262	175574	NM_001291696	0.000	-	KIR2DS2
chr19_KI270932v1_alt	161262	175574	NM_001291700	0.000	-	KIR2DS2
chr19_KI270932v1_alt	161262	175574	NM_001291701	0.000	-	KIR2DS2
chr19_KI270932v1_alt	54892	65839	NM_002255	0.000	-	KIR2DL4
chr19_KI270932v1_alt	2176	18971	NM_006737	0.000	-	KIR3DL2
chr19_KI270932v1_alt	161262	175574	NM_012312	0.000	-	KIR2DS2
chr19_KI270932v1_alt	116873	131404	NM_012313	0.000	-	KIR2DS3
chr19_KI270932v1_alt	20840	36733	NM_012314	0.000	-	KIR2DS4
chr19_KI270932v1_alt	38630	52972	NM_013289	0.000	-	KIR3DL1
chr19_KI270932v1_alt	85113	99634	NM_014218	0.000	-	KIR2DL1
chr19_KI270932v1_alt	144841	159396	NM_014218	0.000	-	KIR2DL1
chr19_KI270932v1_alt	144843	159387	NM_014219	0.000	-	KIR2DL2
chr19_KI270932v1_alt	21293	114442	NM_014512	0.000	-	KIR2DS1
chr19_KI270932v1_alt	116408	142846	NM_014513	0.000	-	KIR2DS5
chr19_KI270932v1_alt	101569	159395	NM_015868	0.000	-	KIR2DL3
chr19_KI270932v1_alt	133383	142868	NM_020535	0.000	-	KIR2DL5A
chr19_KI270932v1_alt	177562	189629	NM_153443	0.000	-	KIR3DL3
chr19_KI270932v1_alt	200655	206193	NR_003061	0.000	-	LILRP2
chr19_KI270932v1_alt	34116	83571	NR_110737	0.000	+	LOC101928804
chr19_KI270932v1_alt	98382	100025	NR_110737	0.000	+	LOC101928804
chr19_KI270932v1_alt	34116	83571	NR_110738	0.000	+	LOC101928804
chr19_KI270932v1_alt	98382	100025	NR_110738	0.000	+	LOC101928804
chr19_KI270932v1_alt	113122	114857	NR_110738	0.000	+	LOC101928804
chr19_KI270933v1_alt	54386	65293	NM_001080770	0.000	-	KIR2DL4
chr19_KI270933v1_alt	54386	65293	NM_001080772	0.000	-	KIR2DL4
chr19_KI270933v1_alt	1961	52440	NM_001083539	0.000	-	KIR3DS1
chr19_KI270933v1_alt	1841	18614	NM_001242867	0.000	-	KIR3DL2
chr19_KI270933v1_alt	54386	75855	NM_001258383	0.000	-	LOC100287534
chr19_KI270933v1_alt	20487	36208	NM_001281971	0.000	-	KIR2DS4
chr19_KI270933v1_alt	20487	36208	NM_001281972	0.000	-	KIR2DS4
chr19_KI270933v1_alt	132273	133089	NM_001281972	0.000	-	KIR2DS4
chr19_KI270933v1_alt	1961	52440	NM_001282170	0.000	-	KIR3DS1
chr19_KI270933v1_alt	1961	52440	NM_001282171	0.000	-	KIR3DS1
chr19_KI270933v1_alt	20490	130398	NM_001291695	0.000	-	KIR2DS2
chr19_KI270933v1_alt	20490	130398	NM_001291696	0.000	-	KIR2DS2
chr19_KI270933v1_alt	20490	130398	NM_001291700	0.000	-	KIR2DS2
chr19_KI270933v1_alt	20490	130398	NM_001291701	0.000	-	KIR2DS2
chr19_KI270933v1_alt	54386	65293	NM_002255	0.000	-	KIR2DL4
chr19_KI270933v1_alt	1841	18614	NM_006737	0.000	-	KIR3DL2
chr19_KI270933v1_alt	20490	130398	NM_012312	0.000	-	KIR2DS2
chr19_KI270933v1_alt	20926	144428	NM_012313	0.000	-	KIR2DS3
chr19_KI270933v1_alt	20487	36208	NM_012314	0.000	-	KIR2DS4
chr19_KI270933v1_alt	38105	52466	NM_013289	0.000	-	KIR3DL1
chr19_KI270933v1_alt	84576	99087	NM_014218	0.000	-	KIR2DL1
chr19_KI270933v1_alt	101018	144455	NM_014218	0.000	-	KIR2DL1
chr19_KI270933v1_alt	84578	130392	NM_014219	0.000	-	KIR2DL2
chr19_KI270933v1_alt	13140	18594	NM_014512	0.000	-	KIR2DS1
chr19_KI270933v1_alt	132269	132808	NM_014513	0.000	-	KIR2DS5
chr19_KI270933v1_alt	101022	113915	NM_015868	0.000	-	KIR2DL3
chr19_KI270933v1_alt	115848	130400	NM_015868	0.000	-	KIR2DL3
chr19_KI270933v1_alt	132372	144435	NM_153443	0.000	-	KIR3DL3
chr19_KI270933v1_alt	155461	160998	NR_003061	0.000	-	LILRP2
chr19_KI270933v1_alt	33764	83034	NR_110737	0.000	+	LOC101928804
chr19_KI270933v1_alt	97835	99478	NR_110737	0.000	+	LOC101928804
chr19_KI270933v1_alt	33764	83034	NR_110738	0.000	+	LOC101928804
chr19_KI270933v1_alt	97835	99478	NR_110738	0.000	+	LOC101928804
chr19_KI270933v1_alt	112571	114306	NR_110738	0.000	+	LOC101928804
chr19_KI270938v1_alt	397718	419013	NM_001005367	0.000	+	TTYH1
chr19_KI270938v1_alt	175839	182631	NM_001013	0.000	+	RPS9
chr19_KI270938v1_alt	166178	169508	NM_001077446	0.000	+	TSEN34
chr19_KI270938v1_alt	786180	797086	NM_001080770	0.000	+	KIR2DL4
chr19_KI270938v1_alt	786180	797086	NM_001080772	0.000	+	KIR2DL4
chr19_KI270938v1_alt	248788	256147	NM_001080978	0.000	-	LILRB2
chr19_KI270938v1_alt	225383	232281	NM_001081442	0.000	-	LILRB5
chr19_KI270938v1_alt	225383	232281	NM_001081443	0.000	-	LILRB5
chr19_KI270938v1_alt	191260	217825	NM_001081450	0.000	-	LILRB3
chr19_KI270938v1_alt	613081	620095	NM_001081637	0.000	+	LILRB1
chr19_KI270938v1_alt	612975	620095	NM_001081638	0.000	+	LILRB1
chr19_KI270938v1_alt	612975	620095	NM_001081639	0.000	+	LILRB1
chr19_KI270938v1_alt	799032	849664	NM_001083539	0.000	+	KIR3DS1
chr19_KI270938v1_alt	996188	1020746	NM_001083899	0.000	-	GP6
chr19_KI270938v1_alt	905990	929987	NM_001127255	0.000	-	NLRP7
chr19_KI270938v1_alt	556411	570141	NM_001130917	0.000	+	LILRA2
chr19_KI270938v1_alt	44313	55747	NM_001135686	0.000	-	TARM1
chr19_KI270938v1_alt	134945	148058	NM_001145303	0.000	-	TMC4
chr19_KI270938v1_alt	888621	895553	NM_001145457	0.000	+	NCR1
chr19_KI270938v1_alt	888621	895553	NM_001145458	0.000	+	NCR1
chr19_KI270938v1_alt	1026805	1045699	NM_001145971	0.000	-	RDH13
chr19_KI270938v1_alt	148219	164847	NM_001146056	0.000	-	MBOAT7
chr19_KI270938v1_alt	153105	164847	NM_001146082	0.000	-	MBOAT7
chr19_KI270938v1_alt	148219	164847	NM_001146083	0.000	-	MBOAT7
chr19_KI270938v1_alt	270963	275335	NM_001172654	0.000	-	LILRA3
chr19_KI270938v1_alt	947765	983624	NM_001174081	0.000	+	NLRP2
chr19_KI270938v1_alt	948824	983624	NM_001174082	0.000	+	NLRP2
chr19_KI270938v1_alt	948824	983624	NM_001174083	0.000	+	NLRP2
chr19_KI270938v1_alt	397718	419013	NM_001201461	0.000	+	TTYH1
chr19_KI270938v1_alt	888621	895553	NM_001242356	0.000	+	NCR1
chr19_KI270938v1_alt	888621	895553	NM_001242357	0.000	+	NCR1
chr19_KI270938v1_alt	833011	849784	NM_001242867	0.000	+	KIR3DL2
chr19_KI270938v1_alt	996188	1020746	NM_001256017	0.000	-	GP6
chr19_KI270938v1_alt	775613	797086	NM_001258383	0.000	+	LOC100287534
chr19_KI270938v1_alt	576154	584960	NM_001278318	0.000	+	LILRA1
chr19_KI270938v1_alt	576775	582299	NM_001278319	0.000	+	LILRA1
chr19_KI270938v1_alt	613081	620095	NM_001278398	0.000	+	LILRB1
chr19_KI270938v1_alt	613081	616748	NM_001278399	0.000	+	LILRB1
chr19_KI270938v1_alt	248788	255852	NM_001278403	0.000	-	LILRB2
chr19_KI270938v1_alt	248788	256147	NM_001278404	0.000	-	LILRB2
chr19_KI270938v1_alt	248788	255513	NM_001278405	0.000	-	LILRB2
chr19_KI270938v1_alt	252503	255513	NM_001278406	0.000	-	LILRB2
chr19_KI270938v1_alt	645384	652924	NM_001278426	0.000	+	LILRB4
chr19_KI270938v1_alt	645384	652924	NM_001278427	0.000	+	LILRB4
chr19_KI270938v1_alt	645384	652924	NM_001278428	0.000	+	LILRB4
chr19_KI270938v1_alt	645384	652924	NM_001278429	0.000	+	LILRB4
chr19_KI270938v1_alt	645384	647772	NM_001278430	0.000	+	LILRB4
chr19_KI270938v1_alt	815244	831138	NM_001281971	0.000	+	KIR2DS4
chr19_KI270938v1_alt	718400	718942	NM_001281972	0.000	+	KIR2DS4
chr19_KI270938v1_alt	815244	831138	NM_001281972	0.000	+	KIR2DS4
chr19_KI270938v1_alt	799032	849664	NM_001282170	0.000	+	KIR3DS1
chr19_KI270938v1_alt	799032	849664	NM_001282171	0.000	+	KIR3DS1
chr19_KI270938v1_alt	165695	169508	NM_001282332	0.000	+	TSEN34
chr19_KI270938v1_alt	165232	169508	NM_001282333	0.000	+	TSEN34
chr19_KI270938v1_alt	69045	77107	NM_001282349	0.000	-	OSCAR
chr19_KI270938v1_alt	69045	77107	NM_001282350	0.000	-	OSCAR
chr19_KI270938v1_alt	15192	38320	NM_001288791	0.000	-	VSTM1
chr19_KI270938v1_alt	15192	38320	NM_001288792	0.000	-	VSTM1
chr19_KI270938v1_alt	15192	38320	NM_001288793	0.000	-	VSTM1
chr19_KI270938v1_alt	336346	347835	NM_001289023	0.000	-	LAIR1
chr19_KI270938v1_alt	336346	347835	NM_001289025	0.000	-	LAIR1
chr19_KI270938v1_alt	336346	353277	NM_001289026	0.000	-	LAIR1
chr19_KI270938v1_alt	336346	353277	NM_001289027	0.000	-	LAIR1
chr19_KI270938v1_alt	556411	570141	NM_001290270	0.000	+	LILRA2
chr19_KI270938v1_alt	555577	570141	NM_001290271	0.000	+	LILRA2
chr19_KI270938v1_alt	721089	831135	NM_001291695	0.000	+	KIR2DS2
chr19_KI270938v1_alt	721089	831135	NM_001291696	0.000	+	KIR2DS2
chr19_KI270938v1_alt	721089	831135	NM_001291700	0.000	+	KIR2DS2
chr19_KI270938v1_alt	721089	831135	NM_001291701	0.000	+	KIR2DS2
chr19_KI270938v1_alt	856662	872953	NM_002000	0.000	+	FCAR
chr19_KI270938v1_alt	786180	797086	NM_002255	0.000	+	KIR2DL4
chr19_KI270938v1_alt	336346	347835	NM_002287	0.000	-	LAIR1
chr19_KI270938v1_alt	485126	493014	NM_002288	0.000	+	LAIR2
chr19_KI270938v1_alt	77272	81394	NM_004542	0.000	+	NDUFA3
chr19_KI270938v1_alt	888621	895553	NM_004829	0.000	+	NCR1
chr19_KI270938v1_alt	248788	256147	NM_005874	0.000	-	LILRB2
chr19_KI270938v1_alt	599497	620095	NM_006669	0.000	+	LILRB1
chr19_KI270938v1_alt	833011	849784	NM_006737	0.000	+	KIR3DL2
chr19_KI270938v1_alt	225383	232281	NM_006840	0.000	-	LILRB5
chr19_KI270938v1_alt	576154	584960	NM_006863	0.000	+	LILRA1
chr19_KI270938v1_alt	191260	217825	NM_006864	0.000	-	LILRB3
chr19_KI270938v1_alt	270963	275379	NM_006865	0.000	-	LILRA3
chr19_KI270938v1_alt	555577	570141	NM_006866	0.000	+	LILRA2
chr19_KI270938v1_alt	315805	321535	NM_012276	0.000	-	LILRA4
chr19_KI270938v1_alt	721089	831135	NM_012312	0.000	+	KIR2DS2
chr19_KI270938v1_alt	707104	830699	NM_012313	0.000	+	KIR2DS3
chr19_KI270938v1_alt	815244	831138	NM_012314	0.000	+	KIR2DS4
chr19_KI270938v1_alt	799006	813347	NM_013289	0.000	+	KIR3DL1
chr19_KI270938v1_alt	81432	90168	NM_013342	0.000	-	TFPT
chr19_KI270938v1_alt	707077	750450	NM_014218	0.000	+	KIR2DL1
chr19_KI270938v1_alt	752378	766892	NM_014218	0.000	+	KIR2DL1
chr19_KI270938v1_alt	721095	766890	NM_014219	0.000	+	KIR2DL2
chr19_KI270938v1_alt	737575	830685	NM_014512	0.000	+	KIR2DS1
chr19_KI270938v1_alt	707082	849785	NM_014513	0.000	+	KIR2DS5
chr19_KI270938v1_alt	112548	130559	NM_014516	0.000	+	CNOT3
chr19_KI270938v1_alt	89902	106263	NM_015629	0.000	+	PRPF31
chr19_KI270938v1_alt	721087	735618	NM_015868	0.000	+	KIR2DL3
chr19_KI270938v1_alt	737551	750446	NM_015868	0.000	+	KIR2DL3
chr19_KI270938v1_alt	996188	1020746	NM_016363	0.000	-	GP6
chr19_KI270938v1_alt	1062873	1066126	NM_017729	0.000	+	EPS8L1
chr19_KI270938v1_alt	948824	983624	NM_017852	0.000	+	NLRP2
chr19_KI270938v1_alt	397718	419013	NM_020659	0.000	+	TTYH1
chr19_KI270938v1_alt	289466	295523	NM_021250	0.000	-	LILRA5
chr19_KI270938v1_alt	485126	493014	NM_021270	0.000	+	LAIR2
chr19_KI270938v1_alt	336346	347835	NM_021706	0.000	-	LAIR1
chr19_KI270938v1_alt	165232	169508	NM_024075	0.000	+	TSEN34
chr19_KI270938v1_alt	148219	164847	NM_024298	0.000	-	MBOAT7
chr19_KI270938v1_alt	130490	134594	NM_024316	0.000	-	LENG1
chr19_KI270938v1_alt	213942	217724	NM_024318	0.000	-	LILRA6
chr19_KI270938v1_alt	431453	444340	NM_052925	0.000	+	LENG8
chr19_KI270938v1_alt	69045	77107	NM_130771	0.000	-	OSCAR
chr19_KI270938v1_alt	69045	77107	NM_133168	0.000	-	OSCAR
chr19_KI270938v1_alt	69045	77107	NM_133169	0.000	-	OSCAR
chr19_KI270938v1_alt	1058334	1066126	NM_133180	0.000	+	EPS8L1
chr19_KI270938v1_alt	856662	872953	NM_133269	0.000	+	FCAR
chr19_KI270938v1_alt	856662	872953	NM_133271	0.000	+	FCAR
chr19_KI270938v1_alt	856662	872953	NM_133272	0.000	+	FCAR
chr19_KI270938v1_alt	856662	872953	NM_133273	0.000	+	FCAR
chr19_KI270938v1_alt	856662	872953	NM_133274	0.000	+	FCAR
chr19_KI270938v1_alt	856662	872953	NM_133277	0.000	+	FCAR
chr19_KI270938v1_alt	856662	872953	NM_133278	0.000	+	FCAR
chr19_KI270938v1_alt	856662	871553	NM_133279	0.000	+	FCAR
chr19_KI270938v1_alt	1026805	1052028	NM_138412	0.000	-	RDH13
chr19_KI270938v1_alt	905990	929987	NM_139176	0.000	-	NLRP7
chr19_KI270938v1_alt	134945	148058	NM_144686	0.000	-	TMC4
chr19_KI270938v1_alt	447322	455551	NM_145057	0.000	-	CDC42EP5
chr19_KI270938v1_alt	707097	719117	NM_153443	0.000	+	KIR3DL3
chr19_KI270938v1_alt	293548	295523	NM_181879	0.000	-	LILRA5
chr19_KI270938v1_alt	289466	295523	NM_181985	0.000	-	LILRA5
chr19_KI270938v1_alt	293548	295523	NM_181986	0.000	-	LILRA5
chr19_KI270938v1_alt	15192	38320	NM_198481	0.000	-	VSTM1
chr19_KI270938v1_alt	444090	446008	NM_198988	0.000	-	LENG9
chr19_KI270938v1_alt	69045	77107	NM_206818	0.000	-	OSCAR
chr19_KI270938v1_alt	905990	929987	NM_206828	0.000	-	NLRP7
chr19_KI270938v1_alt	690813	696069	NR_003061	0.000	+	LILRP2
chr19_KI270938v1_alt	515022	528138	NR_026716	0.000	+	KIR3DX1
chr19_KI270938v1_alt	1026805	1045699	NR_027381	0.000	-	RDH13
chr19_KI270938v1_alt	1026805	1045699	NR_027382	0.000	-	RDH13
chr19_KI270938v1_alt	257077	257149	NR_039907	0.000	+	MIR4752
chr19_KI270938v1_alt	576154	584960	NR_103501	0.000	+	LILRA1
chr19_KI270938v1_alt	576154	582299	NR_103502	0.000	+	LILRA1
chr19_KI270938v1_alt	576154	582299	NR_103503	0.000	+	LILRA1
chr19_KI270938v1_alt	613081	620095	NR_103518	0.000	+	LILRB1
chr19_KI270938v1_alt	248788	255597	NR_103521	0.000	-	LILRB2
chr19_KI270938v1_alt	515022	528138	NR_104095	0.000	+	KIR3DX1
chr19_KI270938v1_alt	515022	528138	NR_104096	0.000	+	KIR3DX1
chr19_KI270938v1_alt	515022	528138	NR_104097	0.000	+	KIR3DX1
chr19_KI270938v1_alt	211581	217731	NR_104098	0.000	-	LILRA6
chr19_KI270938v1_alt	627873	627948	NR_107028	0.000	+	MIR8061
chr19_KI270938v1_alt	15192	38320	NR_110142	0.000	-	VSTM1
chr19_KI270938v1_alt	336346	347835	NR_110279	0.000	-	LAIR1
chr19_KI270938v1_alt	336346	347835	NR_110280	0.000	-	LAIR1
chr19_KI270938v1_alt	751987	753630	NR_110737	0.000	-	LOC101928804
chr19_KI270938v1_alt	768434	817861	NR_110737	0.000	-	LOC101928804
chr19_KI270938v1_alt	737160	738895	NR_110738	0.000	-	LOC101928804
chr19_KI270938v1_alt	751987	753630	NR_110738	0.000	-	LOC101928804
chr19_KI270938v1_alt	768434	817861	NR_110738	0.000	-	LOC101928804
chr1_GL383518v1_alt	121425	145051	NM_020699	0.000	-	GATAD2B
chr1_GL383518v1_alt	44791	90780	NM_023015	0.000	+	INTS3
chr1_GL383518v1_alt	91992	96858	NM_024330	0.000	+	SLC27A3
chr1_GL383519v1_alt	39470	46301	NM_000157	0.000	-	GBA
chr1_GL383519v1_alt	94315	106457	NM_000298	0.000	-	PKLR
chr1_GL383519v1_alt	39470	49885	NM_001005741	0.000	-	GBA
chr1_GL383519v1_alt	39470	49885	NM_001005742	0.000	-	GBA
chr1_GL383519v1_alt	39470	49885	NM_001171811	0.000	-	GBA
chr1_GL383519v1_alt	39470	46298	NM_001171812	0.000	-	GBA
chr1_GL383519v1_alt	52227	60506	NM_001267608	0.000	-	FAM189B
chr1_GL383519v1_alt	15376	18867	NM_002455	0.000	+	MTX1
chr1_GL383519v1_alt	67890	78513	NM_003993	0.000	-	CLK2
chr1_GL383519v1_alt	61001	67408	NM_005698	0.000	-	SCAMP3
chr1_GL383519v1_alt	52227	60506	NM_006589	0.000	-	FAM189B
chr1_GL383519v1_alt	82449	94871	NM_020897	0.000	+	HCN3
chr1_GL383519v1_alt	61001	67408	NM_052837	0.000	-	SCAMP3
chr1_GL383519v1_alt	94315	106024	NM_181871	0.000	-	PKLR
chr1_GL383519v1_alt	52227	60506	NM_198264	0.000	-	FAM189B
chr1_GL383519v1_alt	15376	18867	NM_198883	0.000	+	MTX1
chr1_GL383519v1_alt	18852	32558	NR_002188	0.000	-	GBAP1
chr1_GL383519v1_alt	82449	93730	NR_073074	0.000	+	HCN3
chr1_GL383520v2_alt	280372	336576	NM_001267798	0.000	+	PTPRC
chr1_GL383520v2_alt	280372	363885	NM_002838	0.000	+	PTPRC
chr1_GL383520v2_alt	280372	363885	NM_080921	0.000	+	PTPRC
chr1_GL383520v2_alt	164627	182350	NM_133262	0.000	-	ATP6V1G3
chr1_GL383520v2_alt	164627	182350	NM_133326	0.000	-	ATP6V1G3
chr1_GL383520v2_alt	280372	334610	NR_052021	0.000	+	PTPRC
chr1_KI270706v1_random	45988	46062	NR_036061	0.000	+	MIR3118-1
chr1_KI270706v1_random	45988	46061	NR_036062	0.000	+	MIR3118-2
chr1_KI270706v1_random	45988	46062	NR_036063	0.000	+	MIR3118-3
chr1_KI270713v1_random	35406	35916	NM_001282321	0.000	+	FAM231A
chr1_KI270713v1_random	21860	22024	NR_004400	0.000	-	RNVU1-18
chr1_KI270713v1_random	21860	22024	NR_004402	0.000	-	RNU1-28P
chr1_KI270713v1_random	21860	22024	NR_004408	0.000	-	RNU1-3
chr1_KI270713v1_random	21860	22024	NR_004421	0.000	-	RNU1-4
chr1_KI270713v1_random	21860	22024	NR_004424	0.000	-	RNU1-27P
chr1_KI270713v1_random	21860	22024	NR_004427	0.000	-	RNU1-2
chr1_KI270713v1_random	21860	22024	NR_004430	0.000	-	RNU1-1
chr1_KI270714v1_random	10308	10381	NR_037446	0.000	+	MIR3675
chr1_KI270759v1_alt	61135	401151	NM_018012	0.000	+	KIF26B
chr1_KI270761v1_alt	106837	107812	NM_001004136	0.000	+	OR2T2
chr1_KI270761v1_alt	9554	10601	NM_001004696	0.000	+	OR2T4
chr1_KI270761v1_alt	142628	143576	NM_001004697	0.000	+	OR2T5
chr1_KI270761v1_alt	35923	36850	NM_001005471	0.000	+	OR2T6
chr1_KI270761v1_alt	127390	128347	NM_001005495	0.000	+	OR2T3
chr1_KI270761v1_alt	60034	61144	NM_030904	0.000	+	OR2T1
chr1_KI270762v1_alt	79934	81435	NM_001010926	0.000	-	HES5
chr1_KI270762v1_alt	137939	142659	NM_001195736	0.000	+	FAM213B
chr1_KI270762v1_alt	137939	142659	NM_001195737	0.000	+	FAM213B
chr1_KI270762v1_alt	137939	142659	NM_001195738	0.000	+	FAM213B
chr1_KI270762v1_alt	137939	142659	NM_001195740	0.000	+	FAM213B
chr1_KI270762v1_alt	137939	142659	NM_001195741	0.000	+	FAM213B
chr1_KI270762v1_alt	192152	352839	NM_001242672	0.000	-	TTC34
chr1_KI270762v1_alt	107555	115018	NM_003820	0.000	+	TNFRSF14
chr1_KI270762v1_alt	27504	56715	NM_014638	0.000	+	PLCH2
chr1_KI270762v1_alt	59725	77786	NM_018216	0.000	-	PANK4
chr1_KI270762v1_alt	141831	184229	NM_033467	0.000	-	MMEL1
